Recruits yr^-1
140360.0
199820.0
114488.0
204715.0
174114.0
210354.0
117503.0
232550.0
213848.0
94615.0
158943.0
205577.0
235632.0
231452.0
223954.0
167098.0
204808.0
185521.0
221319.0
214262.0
171698.0
199699.0
126611.0
209841.0
157137.0
175806.0
206678.0
122912.0
229101.0
197986.0
192444.0
137249.0
218937.0
225323.0
195812.0
197116.0
182960.0
246864.0
124080.0
259418.0
