Spatial pattern type (uniform or perlin noise. If perlin noise: patch area is given in m² with standard deviation in parentheses),Recruits yr^-1
7 x 10⁴ (2 x 10⁵),301107
7 x 10⁴ (2 x 10⁵),301796
7 x 10⁴ (2 x 10⁵),303294
7 x 10⁴ (2 x 10⁵),305263
7 x 10⁴ (2 x 10⁵),300864
7 x 10⁴ (2 x 10⁵),300967
7 x 10⁴ (2 x 10⁵),303651
7 x 10⁴ (2 x 10⁵),302295
7 x 10⁴ (2 x 10⁵),301600
7 x 10⁴ (2 x 10⁵),304278
7 x 10⁴ (2 x 10⁵),304161
7 x 10⁴ (2 x 10⁵),302809
7 x 10⁴ (2 x 10⁵),300902
7 x 10⁴ (2 x 10⁵),296766
7 x 10⁴ (2 x 10⁵),304332
7 x 10⁴ (2 x 10⁵),305944
7 x 10⁴ (2 x 10⁵),298546
7 x 10⁴ (2 x 10⁵),299152
7 x 10⁴ (2 x 10⁵),299233
7 x 10⁴ (2 x 10⁵),300070
7 x 10⁴ (2 x 10⁵),305042
7 x 10⁴ (2 x 10⁵),296776
2 x 10⁵ (4 x 10⁵),264496
2 x 10⁵ (4 x 10⁵),275849
2 x 10⁵ (4 x 10⁵),275265
2 x 10⁵ (4 x 10⁵),268222
2 x 10⁵ (4 x 10⁵),269337
2 x 10⁵ (4 x 10⁵),274266
2 x 10⁵ (4 x 10⁵),280016
2 x 10⁵ (4 x 10⁵),272071
2 x 10⁵ (4 x 10⁵),267249
2 x 10⁵ (4 x 10⁵),283844
2 x 10⁵ (4 x 10⁵),299254
2 x 10⁵ (4 x 10⁵),262622
2 x 10⁵ (4 x 10⁵),289485
2 x 10⁵ (4 x 10⁵),269667
2 x 10⁵ (4 x 10⁵),275252
2 x 10⁵ (4 x 10⁵),289951
2 x 10⁵ (4 x 10⁵),282725
2 x 10⁵ (4 x 10⁵),276399
2 x 10⁵ (4 x 10⁵),272850
2 x 10⁵ (4 x 10⁵),276443
2 x 10⁵ (4 x 10⁵),255525
2 x 10⁵ (4 x 10⁵),282245
2 x 10⁵ (4 x 10⁵),271781
2 x 10⁵ (4 x 10⁵),286850
2 x 10⁵ (4 x 10⁵),272575
2 x 10⁵ (4 x 10⁵),279312
2 x 10⁵ (4 x 10⁵),277413
2 x 10⁵ (4 x 10⁵),280222
2 x 10⁵ (4 x 10⁵),263863
2 x 10⁵ (4 x 10⁵),271496
2 x 10⁵ (4 x 10⁵),274378
2 x 10⁵ (4 x 10⁵),284752
2 x 10⁵ (4 x 10⁵),263543
2 x 10⁵ (4 x 10⁵),272292
2 x 10⁵ (4 x 10⁵),256673
2 x 10⁵ (4 x 10⁵),274270
2 x 10⁵ (4 x 10⁵),259609
2 x 10⁵ (4 x 10⁵),282974
2 x 10⁵ (4 x 10⁵),270999
2 x 10⁵ (4 x 10⁵),268969
2 x 10⁵ (4 x 10⁵),276438
2 x 10⁵ (4 x 10⁵),283415
2 x 10⁵ (4 x 10⁵),280551
2 x 10⁵ (4 x 10⁵),281744
2 x 10⁵ (4 x 10⁵),260826
2 x 10⁵ (4 x 10⁵),287443
2 x 10⁵ (4 x 10⁵),272545
2 x 10⁵ (4 x 10⁵),272021
2 x 10⁵ (4 x 10⁵),277414
2 x 10⁵ (4 x 10⁵),280959
