Spatial pattern type (uniform or perlin noise. If perlin noise: patch area is given in m² with standard deviation in parentheses),Recruits yr^-1
7 x 10⁴ (2 x 10⁵),303172
7 x 10⁴ (2 x 10⁵),303888
7 x 10⁴ (2 x 10⁵),315415
7 x 10⁴ (2 x 10⁵),301987
7 x 10⁴ (2 x 10⁵),307966
7 x 10⁴ (2 x 10⁵),308383
7 x 10⁴ (2 x 10⁵),301379
7 x 10⁴ (2 x 10⁵),298095
7 x 10⁴ (2 x 10⁵),311219
7 x 10⁴ (2 x 10⁵),309468
7 x 10⁴ (2 x 10⁵),297161
7 x 10⁴ (2 x 10⁵),298532
7 x 10⁴ (2 x 10⁵),298715
7 x 10⁴ (2 x 10⁵),308776
7 x 10⁴ (2 x 10⁵),301600
7 x 10⁴ (2 x 10⁵),305821
7 x 10⁴ (2 x 10⁵),284632
7 x 10⁴ (2 x 10⁵),313597
7 x 10⁴ (2 x 10⁵),306242
7 x 10⁴ (2 x 10⁵),310562
7 x 10⁴ (2 x 10⁵),302648
7 x 10⁴ (2 x 10⁵),315410
2 x 10⁵ (4 x 10⁵),193127
2 x 10⁵ (4 x 10⁵),227146
2 x 10⁵ (4 x 10⁵),281776
2 x 10⁵ (4 x 10⁵),282236
2 x 10⁵ (4 x 10⁵),201711
2 x 10⁵ (4 x 10⁵),224625
2 x 10⁵ (4 x 10⁵),260832
2 x 10⁵ (4 x 10⁵),208226
2 x 10⁵ (4 x 10⁵),215322
2 x 10⁵ (4 x 10⁵),224459
2 x 10⁵ (4 x 10⁵),186201
2 x 10⁵ (4 x 10⁵),176137
2 x 10⁵ (4 x 10⁵),242544
2 x 10⁵ (4 x 10⁵),250158
2 x 10⁵ (4 x 10⁵),172633
2 x 10⁵ (4 x 10⁵),190750
2 x 10⁵ (4 x 10⁵),194469
2 x 10⁵ (4 x 10⁵),155689
2 x 10⁵ (4 x 10⁵),190186
2 x 10⁵ (4 x 10⁵),196084
2 x 10⁵ (4 x 10⁵),125559
2 x 10⁵ (4 x 10⁵),322662
2 x 10⁵ (4 x 10⁵),198160
2 x 10⁵ (4 x 10⁵),185821
