Initial tree cover (fraction),Tree cover (fraction) after 200 years
0.47,0.389256716
0.47,0.950747609
0.47,0.950753033
0.47,0.950436175
0.47,0.951088309
0.47,0.951925993
0.47,0.950169265
0.47,0.389168829
0.47,0.365832239
0.47,0.326036245
0.48,0.951042771
0.48,0.950953782
0.48,0.951655805
0.48,0.950920165
0.48,0.950699866
0.48,0.950584829
0.48,0.951168597
0.48,0.950839818
0.48,0.950711787
0.48,0.951642811
0.48,0.95010525
0.48,0.9502756
0.48,0.950421035
0.48,0.950205088
0.48,0.951451838
0.48,0.950610876
0.48,0.950553358
0.48,0.392493486
0.48,0.383783638
0.48,0.951221764
0.48,0.946418166
0.49,0.9463498
0.49,0.951150179
0.49,0.950379789
0.49,0.950036883
0.49,0.950520813
0.49,0.950575113
0.49,0.952303588
0.49,0.951576591
0.49,0.950886488
0.49,0.951595068
0.49,0.951840281
0.49,0.951427937
0.49,0.951580942
0.49,0.950052083
0.49,0.951484382
0.49,0.950471997
0.49,0.945590258
0.49,0.945211589
0.49,0.950417757
0.49,0.951179445
0.49,0.950042307
0.49,0.951790392
0.49,0.950983047
0.49,0.950761735
0.49,0.950504541
0.49,0.951486528
0.49,0.950489342
0.49,0.951644957
0.49,0.950682521
0.49,0.950476348
0.49,0.950791001
0.49,0.951177299
0.49,0.951335728
0.49,0.950314641
0.49,0.945329845
0.5,0.951029718
0.5,0.951829433
0.5,0.95039928
0.5,0.950282097
0.5,0.951896727
0.5,0.950702012
0.5,0.951487601
0.5,0.95121634
0.5,0.951256514
0.5,0.951289058
0.5,0.951355278
0.5,0.950653195
0.5,0.950001061
0.5,0.950276673
0.51,0.945118248
0.51,0.951309681
0.51,0.950807273
0.51,0.950367868
0.51,0.951327026
0.51,0.951252162
0.51,0.950594604
0.51,0.950926661
0.51,0.950287521
0.51,0.951240242
0.51,0.951491952
0.51,0.950333118
0.51,0.95137912
0.51,0.950368941
0.51,0.950310349
0.51,0.951110005
0.52,0.944506288
0.52,0.950353742
0.52,0.951602638
0.52,0.951044917
0.52,0.950989604
0.52,0.950555563
0.52,0.950217009
0.52,0.951514781
0.52,0.952059448
0.52,0.950325549
0.52,0.950995028
0.52,0.951817513
0.52,0.950324416
0.52,0.950721562
0.52,0.950595677
0.52,0.95018661
0.52,0.951600492
0.52,0.951488733
