Initial tree cover (fraction),Tree cover (fraction) after 200 years
0.54,0.952840685844421
0.54,0.952932953834533
0.54,0.95020180940628
0.54,0.952471792697906
0.54,0.951013445854187
0.54,0.952233076095581
0.54,0.950843095779419
0.54,0.950536012649536
0.58,0.951045989990234
0.58,0.951019942760467
0.58,0.952361106872558
0.58,0.950904965400695
0.58,0.95241641998291
0.58,0.950379788875579
0.58,0.951725244522094
0.58,0.950238704681396
0.58,0.952440321445465
0.58,0.951435565948486
0.58,0.951826155185699
0.58,0.951111137866973
0.58,0.951902151107788
0.58,0.951822936534881
0.58,0.950506746768951
0.58,0.950671672821044
0.58,0.950689017772674
0.58,0.950737833976745
0.61,0.951497375965118
0.61,0.950567483901977
0.61,0.950330972671508
0.61,0.951232612133026
0.61,0.950964629650116
0.61,0.950367867946624
0.61,0.950336396694183
0.61,0.95067274570465
0.61,0.951051414012908
0.61,0.950175762176513
0.61,0.950545787811279
0.61,0.950913608074188
0.61,0.951295554637908
0.61,0.950576186180114
0.61,0.951105713844299
0.61,0.951074242591857
0.61,0.951541900634765
0.61,0.950695514678955
0.64,0.951184868812561
0.64,0.95021915435791
0.64,0.950514316558837
0.64,0.950536012649536
0.64,0.951681852340698
0.64,0.951055765151977
0.64,0.951304256916046
0.64,0.950320124626159
0.64,0.950634777545929
0.64,0.950277805328369
0.64,0.950913608074188
0.64,0.95029729604721
0.64,0.95023113489151
0.64,0.95015949010849
0.64,0.950170338153839
0.64,0.950758457183837
0.64,0.95110136270523
0.64,0.950190961360931
0.67,0.950373291969299
0.67,0.950637996196746
0.67,0.950090050697326
0.67,0.950170338153839
0.67,0.950592458248138
0.67,0.950431883335113
0.67,0.950300574302673
0.67,0.950390636920929
0.67,0.950113952159881
0.67,0.950144290924072
0.67,0.950028240680694
0.67,0.950900614261627
0.67,0.950652122497558
0.67,0.950311422348022
0.67,0.950325548648834
0.67,0.950092256069183
0.67,0.950810551643371
0.67,0.951212048530578
