Initial tree cover (fraction),Expectation fires km^2 grass year^-1
0.1,0.665030296
0.20625,0.83477087
0.3125,0.945973009
0.41875,1.118570613
0.525,1.479291004
0.65,2.2
0.76,2.999878777
0.87,4.486325555
