Initial tree cover (fraction),Expectation fires km^2 grass year^-1
0.1,0.675182511
0.20625,0.793502587
0.3125,0.906274162
0.41875,1.07
0.525,1.33
0.575,1.428471036
0.61,1.783038686
0.65,4.385275134
0.76,>4.5
0.87,>4.5
